Date,Strategy,Variant,Asset,Sleeve,Raw Optimizer Weight
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GC=F,Gold,0.19999999999999957
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BTC-USD,BTC,0.09999999999999941
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WMT,US Equity,0.04999999999999996
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MSFT,US Equity,0.04999999999999996
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MU,US Equity,0.04999999999999996
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NVDA,US Equity,0.04999999999999996
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NFLX,US Equity,0.04999999999999995
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KO,US Equity,0.04999999999999993
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MCD,US Equity,0.049999999999999906
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DAL,US Equity,0.0499999999999999
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CMCSA,US Equity,0.049999999999999815
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CMG,US Equity,0.04999999999999979
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GOOG,US Equity,0.04999999999999977
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AMZN,US Equity,0.04999999999999976
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SBUX,US Equity,0.049999999999999725
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,UNH,US Equity,0.047409178979723146
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,V,US Equity,0.002590821020276792
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CHTR,US Equity,5.719674822506357e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,JPM,US Equity,2.459215680402071e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CVX,US Equity,2.454122960807917e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NKE,US Equity,2.3914003143279936e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CVS,US Equity,1.61297584170121e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GE,US Equity,1.4045761840904345e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BIIB,US Equity,1.3120531339643905e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PG,US Equity,1.207443219591021e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CSCO,US Equity,1.1497718028367955e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BKNG,US Equity,1.0388732161785805e-16
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SLB,US Equity,8.663200655928712e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BRK-B,US Equity,8.258211213859143e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BAC,US Equity,7.973942189979015e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,C,US Equity,7.4842819813749e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HAL,US Equity,7.144783917520207e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,T,US Equity,6.659864181975579e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GILD,US Equity,5.941787011228739e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,IBM,US Equity,5.4988126714382606e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MRK,US Equity,2.84243937327695e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,INTC,US Equity,1.9844652206577442e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DIS,US Equity,1.3291988088397189e-17
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,ORCL,US Equity,8.582229533199762e-18
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WFC,US Equity,5.955038529427492e-18
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,VZ,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,QCOM,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,XOM,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AMGN,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GS,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BA,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HD,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PEP,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PFE,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GM,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,JNJ,US Equity,0.0
2017-05-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AAPL,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GC=F,Gold,0.19999999999999973
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BTC-USD,BTC,0.0999999999999999
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MCD,US Equity,0.04999999999999995
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,UNH,US Equity,0.04999999999999995
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MU,US Equity,0.04999999999999995
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,JPM,US Equity,0.04999999999999995
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KO,US Equity,0.04999999999999995
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DAL,US Equity,0.04999999999999995
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,JNJ,US Equity,0.04999999999999993
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BA,US Equity,0.04999999999999993
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AMGN,US Equity,0.04999999999999993
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NVDA,US Equity,0.04999999999999992
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,C,US Equity,0.04999999999999991
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,ORCL,US Equity,0.04999999999999991
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NKE,US Equity,0.0499999999999999
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AMZN,US Equity,0.049999999999999885
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WFC,US Equity,2.313848692106442e-16
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MRK,US Equity,1.2641413971087919e-16
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GILD,US Equity,1.1040952810643341e-16
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CVS,US Equity,8.931985001127685e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CMG,US Equity,8.076491971145018e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DIS,US Equity,7.396748161392909e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SLB,US Equity,6.72625657881289e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,T,US Equity,6.626530834030796e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HAL,US Equity,5.565291321997689e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PG,US Equity,5.4879968078019417e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CMCSA,US Equity,4.891185178423826e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,QCOM,US Equity,4.880921415211311e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,V,US Equity,4.6066786075134585e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,IBM,US Equity,4.3375753524088943e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PEP,US Equity,3.8689601131095875e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MSFT,US Equity,3.2520184390956536e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BKNG,US Equity,3.0832552940304504e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GE,US Equity,1.7894447551592748e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GS,US Equity,1.7392859388544514e-17
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CHTR,US Equity,6.358913020830898e-18
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BRK-B,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BAC,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GM,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GOOG,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NFLX,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,XOM,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,INTC,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PFE,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,VZ,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WMT,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CSCO,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HD,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CVX,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SBUX,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BIIB,US Equity,0.0
2017-06-30,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AAPL,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BTC-USD,BTC,0.0999999999999997
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NVDA,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,EA.BK,TH Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BCH.BK,TH Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SPRC.BK,TH Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BEAUTY.BK,TH Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,TOP.BK,TH Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AMGN,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CHTR,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,UNH,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BIIB,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,ORCL,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NKE,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BA,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GILD,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AOT.BK,TH Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,NFLX,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,C,US Equity,0.04999999999999985
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BKNG,US Equity,0.04999999999999975
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,JPM,US Equity,4.816911569788929e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BRK-B,US Equity,4.0311097757927123e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MSFT,US Equity,3.566999210186877e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BEM.BK,TH Equity,3.2935005721956562e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CK.BK,TH Equity,1.842545400570309e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KTB.BK,TH Equity,1.407933148349185e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CVS,US Equity,1.2851442894738674e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BTS.BK,TH Equity,1.2420412322705412e-16
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BJC.BK,TH Equity,9.567397943138941e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,QCOM,US Equity,9.503112241590937e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CVX,US Equity,8.506270382769512e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,ADVANC.BK,TH Equity,6.463906298810369e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,JNJ,US Equity,4.8404796717776004e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KKP.BK,TH Equity,4.7728894204133285e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AAPL,US Equity,4.670014204181476e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,LH.BK,TH Equity,4.563323436457453e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KCE.BK,TH Equity,4.519770974203319e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KBANK.BK,TH Equity,3.913207772972109e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,TPIPL.BK,TH Equity,3.3918025287847575e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DIS,US Equity,3.1843511032498956e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,IBM,US Equity,3.044415647845994e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MCD,US Equity,2.7642478210936783e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BA.BK,TH Equity,2.291547203746592e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SAWAD.BK,TH Equity,2.1123737598597463e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CPN.BK,TH Equity,1.7133867741407298e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BBL.BK,TH Equity,1.541605132979332e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SBUX,US Equity,1.1567507824902092e-17
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DAL,US Equity,8.414199208466241e-18
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,XOM,US Equity,7.386290272405421e-18
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PTT.BK,TH Equity,6.219260959291237e-18
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,TKN.BK,TH Equity,5.447426685953155e-18
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BH.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,TASCO.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,TCAP.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SUPER.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CBG.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,UNIQ.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GC=F,Gold,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,EGCO.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,ITD.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,TU.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BAC,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HMPRO.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PTG.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AAV.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GOOG,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WHA.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,DELTA.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,THAI.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,BCP.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,INTC,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GE,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MINT.BK,TH Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PG,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PFE,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WMT,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CSCO,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HD,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CMCSA,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,GS,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,V,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MU,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MRK,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,T,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,WFC,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,VZ,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,KO,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,CMG,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,SLB,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,HAL,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,PEP,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,MA,US Equity,0.0
2017-07-31,US/TH one-model stockcap5 penalty0.02 assets50 all US segments cap 30% each + daily exposure,all_segments,AMZN,US Equity,0.0
